areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E08000001,Bolton,utla,2021-05-01,70_74,3,5,36.1
E08000001,Bolton,utla,2021-05-01,75_79,1,3,31.2
E08000001,Bolton,utla,2021-05-01,80_84,0,1,14.9
E08000001,Bolton,utla,2021-05-01,85_89,0,0,0.0
E08000001,Bolton,utla,2021-05-01,90+,0,0,0.0
E08000001,Bolton,utla,2021-05-01,unassigned,0,0,
E08000001,Bolton,utla,2021-05-01,60+,7,22,33.8
E08000001,Bolton,utla,2021-05-01,00_59,33,214,96.2
E08000001,Bolton,utla,2021-04-30,00_04,0,2,10.4
E08000001,Bolton,utla,2021-04-30,05_09,2,11,54.5
E08000001,Bolton,utla,2021-04-30,10_14,2,18,95.8
E08000001,Bolton,utla,2021-04-30,15_19,4,23,138.7
E08000001,Bolton,utla,2021-04-30,20_24,2,25,150.7
E08000001,Bolton,utla,2021-04-30,25_29,5,19,102.3
E08000001,Bolton,utla,2021-04-30,30_34,7,22,112.0
E08000001,Bolton,utla,2021-04-30,35_39,1,15,81.3
E08000001,Bolton,utla,2021-04-30,40_44,1,18,106.8
E08000001,Bolton,utla,2021-04-30,45_49,1,16,82.8
E08000001,Bolton,utla,2021-04-30,50_54,3,15,74.8
E08000001,Bolton,utla,2021-04-30,55_59,3,10,54.8
E08000001,Bolton,utla,2021-04-30,60_64,3,7,45.9
E08000001,Bolton,utla,2021-04-30,65_69,2,3,21.7
E08000001,Bolton,utla,2021-04-30,70_74,0,2,14.4
E08000001,Bolton,utla,2021-04-30,75_79,0,3,31.2
E08000001,Bolton,utla,2021-04-30,80_84,0,2,29.8
E08000001,Bolton,utla,2021-04-30,85_89,0,0,0.0
E08000001,Bolton,utla,2021-04-30,90+,0,0,0.0
E08000001,Bolton,utla,2021-04-30,unassigned,0,0,
E08000001,Bolton,utla,2021-04-30,60+,5,17,26.1
E08000001,Bolton,utla,2021-04-30,00_59,31,194,87.2
E08000001,Bolton,utla,2021-04-29,00_04,0,2,10.4
E08000001,Bolton,utla,2021-04-29,05_09,0,10,49.5
E08000001,Bolton,utla,2021-04-29,10_14,7,18,95.8
E08000001,Bolton,utla,2021-04-29,15_19,2,24,144.7
E08000001,Bolton,utla,2021-04-29,20_24,5,23,138.7
E08000001,Bolton,utla,2021-04-29,25_29,2,16,86.1
E08000001,Bolton,utla,2021-04-29,30_34,4,19,96.7
